Epoch 113/1000, Train Loss: 0.0905, Train Accuracy: 0.8716, Train F1: 0.8642, Validation Loss: 0.0799, Validation Accuracy: 0.8908, Validation F1: 0.8864
Epoch 114/1000, Train Loss: 0.0911, Train Accuracy: 0.8742, Train F1: 0.8670, Validation Loss: 0.0799, Validation Accuracy: 0.8924, Validation F1: 0.8881
Epoch 115/1000, Train Loss: 0.0901, Train Accuracy: 0.8762, Train F1: 0.8691, Validation Loss: 0.0800, Validation Accuracy: 0.8903, Validation F1: 0.8857
Epoch 116/1000, Train Loss: 0.0907, Train Accuracy: 0.8743, Train F1: 0.8667, Validation Loss: 0.0797, Validation Accuracy: 0.8915, Validation F1: 0.8865
Epoch 117/1000, Train Loss: 0.0899, Train Accuracy: 0.8748, Train F1: 0.8673, Validation Loss: 0.0798, Validation Accuracy: 0.8912, Validation F1: 0.8863
Epoch 118/1000, Train Loss: 0.0898, Train Accuracy: 0.8739, Train F1: 0.8664, Validation Loss: 0.0796, Validation Accuracy: 0.8917, Validation F1: 0.8872
Epoch 119/1000, Train Loss: 0.0911, Train Accuracy: 0.8722, Train F1: 0.8649, Validation Loss: 0.0798, Validation Accuracy: 0.8912, Validation F1: 0.8870
Epoch 120/1000, Train Loss: 0.0894, Train Accuracy: 0.8731, Train F1: 0.8661, Validation Loss: 0.0796, Validation Accuracy: 0.8922, Validation F1: 0.8873
Epoch 121/1000, Train Loss: 0.0892, Train Accuracy: 0.8739, Train F1: 0.8666, Validation Loss: 0.0796, Validation Accuracy: 0.8917, Validation F1: 0.8869
Epoch 122/1000, Train Loss: 0.0895, Train Accuracy: 0.8749, Train F1: 0.8678, Validation Loss: 0.0796, Validation Accuracy: 0.8908, Validation F1: 0.8861
Epoch 123/1000, Train Loss: 0.0902, Train Accuracy: 0.8742, Train F1: 0.8670, Validation Loss: 0.0797, Validation Accuracy: 0.8905, Validation F1: 0.8861
Epoch 124/1000, Train Loss: 0.0903, Train Accuracy: 0.8733, Train F1: 0.8660, Validation Loss: 0.0793, Validation Accuracy: 0.8910, Validation F1: 0.8862
Epoch 125/1000, Train Loss: 0.0900, Train Accuracy: 0.8754, Train F1: 0.8680, Validation Loss: 0.0791, Validation Accuracy: 0.8915, Validation F1: 0.8867
Epoch 126/1000, Train Loss: 0.0892, Train Accuracy: 0.8767, Train F1: 0.8697, Validation Loss: 0.0792, Validation Accuracy: 0.8924, Validation F1: 0.8878
Epoch 127/1000, Train Loss: 0.0903, Train Accuracy: 0.8725, Train F1: 0.8651, Validation Loss: 0.0794, Validation Accuracy: 0.8908, Validation F1: 0.8859
Epoch 128/1000, Train Loss: 0.0894, Train Accuracy: 0.8755, Train F1: 0.8684, Validation Loss: 0.0791, Validation Accuracy: 0.8912, Validation F1: 0.8862
Epoch 129/1000, Train Loss: 0.0890, Train Accuracy: 0.8785, Train F1: 0.8716, Validation Loss: 0.0790, Validation Accuracy: 0.8927, Validation F1: 0.8878
Epoch 130/1000, Train Loss: 0.0886, Train Accuracy: 0.8758, Train F1: 0.8691, Validation Loss: 0.0788, Validation Accuracy: 0.8924, Validation F1: 0.8877
Epoch 131/1000, Train Loss: 0.0892, Train Accuracy: 0.8788, Train F1: 0.8720, Validation Loss: 0.0789, Validation Accuracy: 0.8941, Validation F1: 0.8892
Epoch 132/1000, Train Loss: 0.0900, Train Accuracy: 0.8733, Train F1: 0.8661, Validation Loss: 0.0789, Validation Accuracy: 0.8941, Validation F1: 0.8894
Epoch 133/1000, Train Loss: 0.0892, Train Accuracy: 0.8744, Train F1: 0.8673, Validation Loss: 0.0787, Validation Accuracy: 0.8922, Validation F1: 0.8878
Epoch 134/1000, Train Loss: 0.0885, Train Accuracy: 0.8750, Train F1: 0.8682, Validation Loss: 0.0788, Validation Accuracy: 0.8920, Validation F1: 0.8874
Epoch 135/1000, Train Loss: 0.0879, Train Accuracy: 0.8769, Train F1: 0.8703, Validation Loss: 0.0787, Validation Accuracy: 0.8938, Validation F1: 0.8890
Epoch 136/1000, Train Loss: 0.0878, Train Accuracy: 0.8757, Train F1: 0.8691, Validation Loss: 0.0788, Validation Accuracy: 0.8931, Validation F1: 0.8884
Epoch 137/1000, Train Loss: 0.0884, Train Accuracy: 0.8736, Train F1: 0.8664, Validation Loss: 0.0787, Validation Accuracy: 0.8920, Validation F1: 0.8874
Epoch 138/1000, Train Loss: 0.0879, Train Accuracy: 0.8754, Train F1: 0.8684, Validation Loss: 0.0783, Validation Accuracy: 0.8943, Validation F1: 0.8897
Epoch 139/1000, Train Loss: 0.0890, Train Accuracy: 0.8748, Train F1: 0.8680, Validation Loss: 0.0785, Validation Accuracy: 0.8929, Validation F1: 0.8883
Epoch 140/1000, Train Loss: 0.0872, Train Accuracy: 0.8799, Train F1: 0.8731, Validation Loss: 0.0783, Validation Accuracy: 0.8929, Validation F1: 0.8884
Epoch 141/1000, Train Loss: 0.0873, Train Accuracy: 0.8784, Train F1: 0.8715, Validation Loss: 0.0783, Validation Accuracy: 0.8936, Validation F1: 0.8890
Epoch 142/1000, Train Loss: 0.0886, Train Accuracy: 0.8735, Train F1: 0.8665, Validation Loss: 0.0782, Validation Accuracy: 0.8936, Validation F1: 0.8890
Epoch 143/1000, Train Loss: 0.0881, Train Accuracy: 0.8758, Train F1: 0.8688, Validation Loss: 0.0782, Validation Accuracy: 0.8931, Validation F1: 0.8884
Epoch 144/1000, Train Loss: 0.0889, Train Accuracy: 0.8768, Train F1: 0.8700, Validation Loss: 0.0782, Validation Accuracy: 0.8931, Validation F1: 0.8884
Epoch 145/1000, Train Loss: 0.0890, Train Accuracy: 0.8770, Train F1: 0.8705, Validation Loss: 0.0779, Validation Accuracy: 0.8936, Validation F1: 0.8888
Epoch 146/1000, Train Loss: 0.0878, Train Accuracy: 0.8772, Train F1: 0.8705, Validation Loss: 0.0782, Validation Accuracy: 0.8934, Validation F1: 0.8890
Epoch 147/1000, Train Loss: 0.0868, Train Accuracy: 0.8789, Train F1: 0.8723, Validation Loss: 0.0777, Validation Accuracy: 0.8943, Validation F1: 0.8897
Epoch 148/1000, Train Loss: 0.0872, Train Accuracy: 0.8787, Train F1: 0.8725, Validation Loss: 0.0780, Validation Accuracy: 0.8953, Validation F1: 0.8906
