OID_,Id,Shape_Length,Shape_Area,sum_Total_True_ton,sum_Total_Pred_ton,Point_Count,Error
2877,0,800.000000000000000,40000.000000000000000,497.400861911472020,316.603959306568015,2,36.348329174604935
2878,0,800.000000000000000,40000.000000000000000,0.000000000000000,-1.469418069503030,2,
2879,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2880,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2881,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2882,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2883,0,800.000000000000000,40000.000000000000000,290.042629299368969,312.022196527265010,4,7.578047158443637
2884,0,800.000000000000000,40000.000000000000000,2169.916569662471375,2386.081353982016935,15,9.961893804662260
2885,0,800.000000000000000,40000.000000000000000,172.454952976992018,294.405044436853984,2,70.714171645816322
2886,0,800.000000000000000,40000.000000000000000,340.025098172616026,390.261458942891636,3,14.774309614278176
2887,0,800.000000000000000,40000.000000000000000,2194.977757410360027,2229.821281394275047,14,1.587420367531355
2888,0,222.189727638263150,2243.895479474021613,0.000000000000000,0.000000000000000,0,
2889,0,800.000000000000000,40000.000000000000000,603.061378051932024,801.543719094333369,6,32.912461030676255
2890,0,800.000000000000000,40000.000000000000000,116.704429385291988,130.990734332343010,1,12.241441924955330
2891,0,800.000000000000000,40000.000000000000000,0.000000000000000,25.888113903215707,2,
2892,0,800.000000000000000,40000.000000000000000,152.915721851520004,221.432515475738995,1,44.806899378697160
2893,0,800.000000000000000,40000.000000000000000,1459.601803367459752,1547.833818763876479,10,6.044937406411522
2894,0,379.004846655092194,3492.747570633379837,0.000000000000000,0.000000000000000,0,
2895,0,800.000000000000000,40000.000000000000000,1164.814272909252168,1055.826039203263917,6,9.356704861950060
2896,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2897,0,800.000000000000000,40000.000000000000000,2220.161024717009695,2199.847872147641283,15,0.914940508513683
2898,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2899,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2900,0,775.243523951197517,37524.299999978393316,0.000000000000000,0.000000000000000,0,
2901,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2902,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2903,0,800.000000000000000,40000.000000000000000,987.368320677384077,1130.361367378086015,8,14.482239677550274
2904,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2905,0,800.000000000000000,40000.000000000000000,766.277672833727934,1046.966514739297054,8,36.630173611553843
2906,0,800.000000000000000,40000.000000000000000,537.116473003463966,418.566303185406980,3,22.071594482132451
2907,0,800.000000000000000,40000.000000000000000,773.677834078148976,730.973801411647173,6,5.519614338878459
2908,0,800.000000000000000,40000.000000000000000,510.568604626463980,600.247094517553933,6,17.564434843521067
2909,0,800.000000000000000,40000.000000000000000,1933.428158160155817,2156.429601439646831,14,11.533991699577733
2910,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2911,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2912,0,800.000000000000000,40000.000000000000000,1381.657261812588104,1239.800518732800811,8,10.267144175371413
2913,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2914,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2915,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2916,0,800.000000000000000,40000.000000000000000,315.282484845252043,501.919888250720987,3,59.196882915038849
2917,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2918,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2919,0,800.000000000000000,40000.000000000000000,816.293856855995955,1060.343278483508129,8,29.897250797339446
2920,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.807564765336887,1,
2921,0,800.000000000000000,40000.000000000000000,1131.151575807215977,1331.114942122239881,9,17.677857732932512
2922,0,800.000000000000000,40000.000000000000000,1078.480604947247912,1159.291293258429050,7,7.493012664343079
2923,0,800.000000000000000,40000.000000000000000,0.000000000000000,21.179236251547671,2,
2924,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2925,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2926,0,800.000000000000000,40000.000000000000000,436.765530538403937,421.685182323584968,3,3.452733139501489
2927,0,800.000000000000000,40000.000000000000000,666.311393939525942,845.102532051360413,6,26.832970250552467
2928,0,771.194788703210179,37118.840868464321829,668.250978365891910,856.130325531031190,7,28.115087481737806
2929,0,471.798246904405119,7178.289999999105930,274.823533438703976,315.000189568105043,2,14.619074147943003
2930,0,800.000000000000000,40000.000000000000000,0.000000000000000,23.150160119113689,2,
2931,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2932,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2933,0,800.000000000000000,40000.000000000000000,681.643068447852102,390.084858963665965,2,42.772856202892832
2934,0,800.000000000000000,40000.000000000000000,959.652346091796062,1416.258753646313835,9,47.580398194622958
2935,0,800.000000000000000,40000.000000000000000,402.252242275395020,667.816245050465113,4,66.019272204145054
2936,0,800.000000000000000,40000.000000000000000,0.000000000000000,13.843861462305700,2,
2937,0,800.000000000000000,40000.000000000000000,0.000000000000000,30.390562390651773,3,
2938,0,800.000000000000000,40000.000000000000000,1142.620254946079967,1230.682135298123967,9,7.707012016533842
2939,0,800.000000000000000,40000.000000000000000,2059.092786185199202,2013.822679677101632,16,2.198546214712729
2940,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2941,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2942,0,800.000000000000000,40000.000000000000000,427.526872343207970,455.726277891081963,2,6.595937559039847
2943,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2944,0,800.000000000000000,40000.000000000000000,898.167482930663937,895.105832912830010,7,0.340877406053931
2945,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2946,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2947,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2948,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2949,0,800.000000000000000,40000.000000000000000,520.842288084032020,580.424429763962962,5,11.439574520553913
2950,0,800.000000000000000,40000.000000000000000,669.112474573908003,397.412214301388985,3,40.606067080954993
2951,0,800.000000000000000,40000.000000000000000,2165.544742518144176,2223.594758912772704,16,2.680619580601538
2952,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2953,0,800.000000000000000,40000.000000000000000,1226.936284911432040,1237.390286788059029,9,0.852041137358785
2954,0,800.000000000000000,40000.000000000000000,847.407958593840135,881.813611948725338,6,4.060105054002180
2955,0,800.000000000000000,40000.000000000000000,2645.441988031295750,2190.310691309051890,10,17.204357486627284
2956,0,800.000000000000000,40000.000000000000000,433.792169280180019,392.835329544162960,4,9.441581161776028
2957,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2958,0,800.000000000000000,40000.000000000000000,179.357398755012014,247.965785029715988,2,38.252331239715176
2959,0,800.000000000000000,40000.000000000000000,0.000000000000000,166.717367853960496,3,
2960,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2961,0,800.000000000000000,40000.000000000000000,2232.364154468165907,1847.137599533736875,11,17.256438836978401
2962,0,800.000000000000000,40000.000000000000000,884.256399901116083,1192.582492516050024,6,34.868403853159919
2963,0,800.000000000000000,40000.000000000000000,1910.153560598883132,1143.201586394383185,13,40.151325528196821
2964,0,800.000000000000000,40000.000000000000000,141.553234186163991,125.444839680908800,2,11.379743174267716
2965,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2966,0,800.000000000000000,40000.000000000000000,697.040832106511971,879.696987636647009,7,26.204513009393416
2967,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2968,0,800.000000000000000,40000.000000000000000,728.529205192730956,847.893917089892739,8,16.384341361522232
2969,0,57.781497002010404,6.507684391219647,0.000000000000000,0.000000000000000,0,
2970,0,800.000000000000000,40000.000000000000000,0.000000000000000,10.638676697224200,1,
2971,0,800.000000000000000,40000.000000000000000,0.000000000000000,12.426840082765542,2,
2972,0,492.460726337965923,9246.041966429282184,0.000000000000000,0.000000000000000,0,
2973,0,800.000000000000000,40000.000000000000000,266.328215558064016,201.887134169582794,2,24.196115028012112
2974,0,800.000000000000000,40000.000000000000000,1551.415815583344056,1303.629847991858924,9,15.971602526065249
2975,0,800.000000000000000,40000.000000000000000,0.000000000000000,2.011647798884310,1,
2976,0,800.000000000000000,40000.000000000000000,376.342582112352034,310.078030140513533,3,17.607508456764563
2977,0,800.000000000000000,40000.000000000000000,1103.232664837458060,1163.157675865987358,10,5.431765477806823
2978,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2979,0,800.000000000000000,40000.000000000000000,0.000000000000000,49.447888467345798,1,
2980,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2981,0,800.000000000000000,40000.000000000000000,620.158205286719976,634.488581717967918,5,2.310761400733628
2982,0,800.000000000000000,40000.000000000000000,1574.925743597148312,1607.305274869003824,10,2.055940186608436
2983,0,800.000000000000000,40000.000000000000000,0.000000000000000,32.114261972640399,2,
2984,0,800.000000000000000,40000.000000000000000,276.204022594307958,255.380078285517982,2,7.539334189703839
2985,0,800.000000000000000,40000.000000000000000,489.571834406210996,388.393408748209254,6,20.666717026464244
2986,0,800.000000000000000,40000.000000000000000,0.000000000000000,47.140744190318003,2,
2987,0,800.000000000000000,40000.000000000000000,1757.880482615055143,1770.507928900713750,14,0.718333607463107
2988,0,800.000000000000000,40000.000000000000000,0.000000000000000,77.949121089875902,2,
2989,0,800.000000000000000,40000.000000000000000,90.398440657807996,178.897863324666616,2,97.899280145619031
2990,0,800.000000000000000,40000.000000000000000,1051.720353623231858,1132.472616507151997,8,7.678111639251285
2991,0,800.000000000000000,40000.000000000000000,137.365228262144001,90.247628903424399,1,34.300965356969144
2992,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
2993,0,800.000000000000000,40000.000000000000000,958.271856936191853,1085.542437402119731,8,13.281260379788279
2994,0,741.509172206198741,34647.905417182992096,0.000000000000000,0.000000000000000,0,
2995,0,800.000000000000000,40000.000000000000000,2057.794691492556012,1431.711576669636088,9,30.424955288849077
2996,0,800.000000000000000,40000.000000000000000,0.000000000000000,26.331513513298599,1,
2997,0,800.000000000000000,40000.000000000000000,1846.563532830612075,1689.635014793963819,13,8.498408814349933
2998,0,800.000000000000000,40000.000000000000000,1220.326894121769101,1159.484264757157462,11,4.985764851834898
2999,0,800.000000000000000,40000.000000000000000,954.767538310428108,1130.191790601200864,8,18.373504046985754
3000,0,800.000000000000000,40000.000000000000000,998.264772892241922,860.362456817442990,10,13.814202385932020
3001,0,800.000000000000000,40000.000000000000000,1340.382669818181967,1258.931169947680246,9,6.076734779147086
3002,0,800.000000000000000,40000.000000000000000,673.912204760771942,465.277209286916218,5,30.958779793566404
3003,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
3004,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
3005,0,800.000000000000000,40000.000000000000000,82.192200495191997,113.864286152014003,1,38.534174126016651
3006,0,800.000000000000000,40000.000000000000000,989.810724568067940,1072.189309207074530,7,8.322660342456365
3007,0,800.000000000000000,40000.000000000000000,1598.589740552606827,1659.497769610480873,11,3.810110093463950
3008,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
3009,0,800.000000000000000,40000.000000000000000,0.000000000000000,0.000000000000000,0,
